id_tiempo,fecha,año,mes
20100101,2010-01-01,2010,1
20100102,2010-01-02,2010,1
20100103,2010-01-03,2010,1
20100104,2010-01-04,2010,1
20100105,2010-01-05,2010,1
20100106,2010-01-06,2010,1
20100107,2010-01-07,2010,1
20100108,2010-01-08,2010,1
20100109,2010-01-09,2010,1
20100110,2010-01-10,2010,1
20100111,2010-01-11,2010,1
20100112,2010-01-12,2010,1
20100113,2010-01-13,2010,1
20100114,2010-01-14,2010,1
20100115,2010-01-15,2010,1
20100116,2010-01-16,2010,1
20100117,2010-01-17,2010,1
20100118,2010-01-18,2010,1
20100119,2010-01-19,2010,1
20100120,2010-01-20,2010,1
20100121,2010-01-21,2010,1
20100122,2010-01-22,2010,1
20100123,2010-01-23,2010,1
20100124,2010-01-24,2010,1
20100125,2010-01-25,2010,1
20100126,2010-01-26,2010,1
20100127,2010-01-27,2010,1
20100128,2010-01-28,2010,1
20100129,2010-01-29,2010,1
20100130,2010-01-30,2010,1
20100131,2010-01-31,2010,1
20100201,2010-02-01,2010,2
20100202,2010-02-02,2010,2
20100203,2010-02-03,2010,2
20100204,2010-02-04,2010,2
20100205,2010-02-05,2010,2
20100206,2010-02-06,2010,2
20100207,2010-02-07,2010,2
20100208,2010-02-08,2010,2
20100209,2010-02-09,2010,2
20100210,2010-02-10,2010,2
20100211,2010-02-11,2010,2
20100212,2010-02-12,2010,2
20100213,2010-02-13,2010,2
20100214,2010-02-14,2010,2
20100215,2010-02-15,2010,2
20100216,2010-02-16,2010,2
20100217,2010-02-17,2010,2
20100218,2010-02-18,2010,2
20100219,2010-02-19,2010,2
20100220,2010-02-20,2010,2
20100221,2010-02-21,2010,2
20100222,2010-02-22,2010,2
20100223,2010-02-23,2010,2
20100224,2010-02-24,2010,2
20100225,2010-02-25,2010,2
20100226,2010-02-26,2010,2
20100227,2010-02-27,2010,2
20100228,2010-02-28,2010,2
20100301,2010-03-01,2010,3
20100302,2010-03-02,2010,3
20100303,2010-03-03,2010,3
20100304,2010-03-04,2010,3
20100305,2010-03-05,2010,3
20100306,2010-03-06,2010,3
20100307,2010-03-07,2010,3
20100308,2010-03-08,2010,3
20100309,2010-03-09,2010,3
20100310,2010-03-10,2010,3
